# wavelength throughput
1.6854000244140628 0.0
1.6864000244140627 0.0
1.6874000244140626 8.0660236034493e-05
1.6884000244140625 8.754948995810506e-05
1.6894000244140626 9.546994721576279e-05
1.6904000244140625 0.00010253909782609013
1.6914000244140626 0.00011180167186895244
1.6924000244140625 0.00012232974018463525
1.6934000244140626 0.00013395058617564603
1.6944000244140625 0.00014701752464471905
1.6954000244140626 0.00016123841115744993
1.6964000244140625 0.0001774265822512403
1.6974000244140626 0.00019682121932369315
1.6984000244140625 0.00021699831246539802
1.6994000244140626 0.00024271847874160187
1.7004000244140625 0.00027115236947771067
1.7014000244140626 0.00030237986717204964
1.7024000244140625 0.00034130028078243447
1.7034000244140626 0.00038323450676525545
1.7044000244140625 0.0004315607426137786
1.7054000244140626 0.00048739110775932815
1.7064000244140625 0.0005508334081850263
1.7074000244140626 0.0006227228499099174
1.7084000244140625 0.0007031414358715726
1.7094000244140626 0.0007958086150564202
1.7104000244140625 0.000901606198182698
1.7114000244140626 0.0010175818793977376
1.7124000244140625 0.0011529332372739905
1.7134000244140626 0.001305608480889846
1.7144000244140625 0.001473422107490348
1.7154000244140626 0.0016652659090810248
1.7164000244140625 0.0018897388150926509
1.7174000244140626 0.002137094575653695
1.7184000244140625 0.002427303485383933
1.7194000244140626 0.0027663445552721716
1.7204000244140625 0.0031412064413443514
1.7214000244140626 0.0035772003262051788
1.7224000244140625 0.004085738698111704
1.7234000244140626 0.004671899194490717
1.7244000244140625 0.005360425571446568
1.7254000244140626 0.006184683749592873
1.7264000244140625 0.007141752875544888
1.7274000244140626 0.008271143605896439
1.7284000244140625 0.009614385318610865
1.7294000244140626 0.011253177172942198
1.7304000244140625 0.013152601705764036
1.7314000244140626 0.015454767209080608
1.7324000244140625 0.018227124282992092
1.7334000244140626 0.02124943469915972
1.7344000244140625 0.024587424505441456
1.7354000244140626 0.027964284223482162
1.7364000244140625 0.031539265433915095
1.7374000244140626 0.035242349217664996
1.7384000244140625 0.039582947994462665
1.7394000244140626 0.04404957251319454
1.7404000244140625 0.04909159086867186
1.7414000244140626 0.05476139083633097
1.7424000244140625 0.06075663676510464
1.7434000244140626 0.06746933133676274
1.7444000244140625 0.0749876783599939
1.7454000244140624 0.08381469481939811
1.7464000244140625 0.09369758098334016
1.7474000244140624 0.10549585883483908
1.7484000244140625 0.1193380379704907
1.7494000244140624 0.13529309942820184
1.7504000244140625 0.1538161990590371
1.7514000244140624 0.1743220869209071
1.7524000244140625 0.1954542048533694
1.7534000244140624 0.2183787993238206
1.7544000244140625 0.24137801772301407
1.7554000244140624 0.26460491148324417
1.7564000244140625 0.2873280941500984
1.7574000244140624 0.30915593164149835
1.7584000244140625 0.32845391530593726
1.7594000244140624 0.3464119979349792
1.7604000244140625 0.3624100401450493
1.7614000244140624 0.37697938517746304
1.7624000244140625 0.39055574900955387
1.7634000244140624 0.4037419098030197
1.7644000244140625 0.4154879988104988
1.7654000244140624 0.42685303269446856
1.7664000244140625 0.4375260538337481
1.7674000244140624 0.4472373175650414
1.7684000244140625 0.45682108506119506
1.7694000244140624 0.4656733719901195
1.7704000244140625 0.4739259531686714
1.7714000244140624 0.4806135585144431
1.7724000244140625 0.48650189182206177
1.7734000244140624 0.4912860527982603
1.7744000244140625 0.4949732317060923
1.7754000244140624 0.49814323528676796
1.7764000244140625 0.4994229398137694
1.7774000244140624 0.501310553507932
1.7784000244140625 0.5014589698291578
1.7794000244140624 0.5027415990247796
1.7804000244140625 0.5035899086856354
1.7814000244140624 0.5038418147042296
1.7824000244140625 0.5044838612279422
1.7834000244140624 0.5044832423207386
1.7844000244140625 0.5048251110443999
1.7854000244140624 0.5056437855661691
1.7864000244140625 0.5059895828491189
1.7874000244140624 0.5066974047212849
1.7884000244140625 0.5080494392729803
1.7894000244140624 0.5085407488404156
1.7904000244140625 0.5090652751336544
1.7914000244140624 0.5094363484645654
1.7924000244140625 0.5095892080803258
1.7934000244140624 0.5092993338570693
1.7944000244140625 0.5093738963662356
1.7954000244140624 0.5081741971216432
1.7964000244140625 0.5073701937659802
1.7974000244140624 0.5058800868832841
1.7984000244140625 0.5044057596208587
1.7994000244140624 0.5033966403984723
1.8004000244140625 0.5017652531645498
1.8014000244140624 0.5006954713257061
1.8024000244140626 0.4989761989334596
1.8034000244140624 0.4974725101517131
1.8044000244140626 0.49561275285063233
1.8054000244140624 0.49390663496912873
1.8064000244140626 0.4928192563044428
1.8074000244140624 0.49232831022116474
1.8084000244140626 0.4916425853603332
1.8094000244140624 0.49110014565365345
1.8104000244140626 0.4908872187348715
1.8114000244140624 0.48997249383757074
1.8124000244140626 0.4907724025401239
1.8134000244140625 0.4909368521731169
1.8144000244140626 0.49183517599295445
1.8154000244140625 0.4926567386035976
1.8164000244140626 0.4930985087898014
1.8174000244140625 0.49400632930622085
1.8184000244140626 0.49554338225591094
1.8194000244140625 0.496598982457463
1.8204000244140626 0.4972659412127576
1.8214000244140625 0.49872991012752876
1.8224000244140626 0.5002010352910429
1.8234000244140625 0.5005527131035095
1.8244000244140626 0.5028651483127038
1.8254000244140625 0.5041289905661215
1.8264000244140626 0.5052447632262151
1.8274000244140625 0.5059714317420618
1.8284000244140626 0.5064874764480936
1.8294000244140625 0.5072364008808036
1.8304000244140626 0.5088198104613446
1.8314000244140625 0.5091164817371637
1.8324000244140626 0.5105292845738503
1.8334000244140625 0.5110766518832416
1.8344000244140626 0.5111471249834537
1.8354000244140625 0.5112980587164278
1.8364000244140626 0.5127538992712537
1.8374000244140625 0.5127634832533222
